0,1.6676094597650253,18.586831220357723,12.85334336883242,1.479019945774904,1.9461500456028564
-88.0,-87.0,-87.0,-90.0,-88.0,-90.0,-87.0,-87.0,-86.0,-88.0,-85.0,-85.0,-85.0,-88.0,-87.0,-89.0,-87.0,-88.0,-85.0,-88.0
-89.0,-90.0,-88.0,-90.0,-93.0,-93.0,-88.0,-89.0,-87.0,-89.0,-90.0,-87.0,-85.0,-86.0,-90.0,-88.0,-89.0,-87.0,-89.0,-88.0
1,1.6676094597650253,18.586831220357723,12.187946222671947,0.5830951894845301,0.9486832980505138
-87.0,-87.0,-87.0,-87.0,-88.0,-87.0,-87.0,-87.0,-86.0,-86.0,-86.0,-87.0,-86.0,-86.0,-86.0,-86.0,-86.0,-86.0,-87.0,-87.0
-89.0,-88.0,-89.0,-88.0,-89.0,-90.0,-90.0,-88.0,-88.0,-87.0,-87.0,-87.0,-88.0,-88.0,-88.0,-87.0,-88.0,-87.0,-87.0,-87.0
2,1.6676094597650253,18.586831220357723,13.781958318256695,0.9630680142129111,1.3820274961085255
-90.0,-89.0,-88.0,-88.0,-90.0,-88.0,-89.0,-89.0,-89.0,-89.0,-88.0,-88.0,-87.0,-87.0,-88.0,-87.0,-87.0,-87.0,-87.0,-88.0
-90.0,-94.0,-91.0,-90.0,-90.0,-90.0,-89.0,-90.0,-90.0,-91.0,-90.0,-90.0,-90.0,-88.0,-89.0,-89.0,-89.0,-88.0,-87.0,-89.0
3,1.6676094597650253,18.586831220357723,25.485278038817725,1.9968725547715858,3.0244834269673224
-99.0,-98.0,-98.0,-97.0,-96.0,-95.0,-94.0,-96.0,-93.0,-91.0,-97.0,-96.0,-97.0,-97.0,-100.0,-95.0,-96.0,-96.0,-96.0,-98.0
-107.0,-102.0,-101.0,-100.0,-98.0,-95.0,-99.0,-95.0,-94.0,-94.0,-97.0,-97.0,-99.0,-98.0,-100.0,-97.0,-96.0,-95.0,-98.0,-97.0
4,1.6676094597650253,18.586831220357723,24.249200045639014,1.5754346891679754,1.9098429254784277
-95.0,-97.0,-94.0,-93.0,-95.0,-95.0,-98.0,-93.0,-94.0,-96.0,-96.0,-95.0,-95.0,-96.0,-98.0,-96.0,-93.0,-97.0,-93.0
-99.0,-95.0,-96.0,-97.0,-97.0,-96.0,-97.0,-97.0,-97.0,-96.0,-99.0,-95.0,-101.0,-100.0,-96.0,-99.0,-101.0,-95.0,-98.0,-100.0
