0,7846813.061152439,-11845804.319508554,1.0654793089485695,0.0,0.0,-39.0,-40.0,1.0075366063638962,1.1234220115332427
-39.0,-39.0
-40.0,-40.0
1,7846814.576368956,-11845804.300581664,1.1062395748824994,0.5,0.5,-39.5,-40.5,1.0460802549065298,1.1663988948584691
-40.0,-39.0
-41.0,-40.0
2,7846816.577891668,-11845804.279076627,1.0083430700964673,0.0,0.5,-38.0,-39.5,0.9346574949664336,1.082028645226501
-38.0,-38.0
-40.0,-39.0
3,7846820.581902117,-11845804.388079353,1.0262208870244973,0.5,0.5,-38.5,-39.5,0.9704131288224933,1.082028645226501
-38.0,-39.0
-39.0,-40.0
4,7846821.599239293,-11845804.496255703,0.9692093623618689,0.0,0.5,-38.0,-38.5,0.9346574949664336,1.0037612297573042
-38.0,-38.0
-38.0,-39.0
