cansat,1_1m,-37.56666666666667,0.49553562491061687,0,-38,-38,-38,-37,-37,-37,-38,-38,-37,-38,-37,-38,-37,-38,-38,-38,-38,-37,-38,-37,-38,-37,-38,-38,-38,-38,-37,-38,-37,-37,-37,-37
lost,1_1m,-35.86666666666667,0.4988876515698589,0,-36,-36,-36,-36,-36,-36,-37,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-35,-36,-35,-35,-36,-37,-36,-35,-36,-36,-36,-35,-36,-35,-35
cansat,2_5m,-57.766666666666666,0.6155395104206461,-57,-59,-59,-59,-58,-58,-58,-58,-57,-57,-58,-58,-58,-57,-58,-57,-58,-58,-58,-57,-58,-57,-58,-57,-58,-58,-57,-57,-58,-58,-57,-57
lost,2_5m,-55.333333333333336,0.7453559924999299,-56,-57,-56,-56,-57,-56,-56,-54,-55,-55,-55,-55,-56,-55,-54,-55,-56,-55,-55,-56,-54,-55,-56,-55,-55,-55,-55,-55,-55,-55,-56,-56
cansat,2_10m,-68.43333333333334,0.6155395104206463,-68,-69,-68,-68,-68,-68,-68,-68,-68,-68,-69,-68,-69,-68,-68,-68,-69,-69,-68,-69,-67,-69,-69,-69,-68,-69,-70,-68,-69,-68,-69,-69
lost,2_10m,-65.8,0.7023769168568492,-66,-66,-65,-66,-65,-66,-67,-65,-66,-66,-67,-65,-66,-66,-66,-65,-66,-67,-65,-66,-66,-66,-66,-65,-67,-65,-65,-66,-67,-65,-65,-65
cansat,2_15m,-78.03333333333333,0.8749603165604459,-77,-78,-78,-78,-78,-78,-78,-77,-77,-78,-77,-79,-78,-78,-75,-77,-78,-79,-79,-78,-78,-79,-79,-78,-79,-78,-77,-78,-79,-79,-79,-79
lost,2_15m,-75.06666666666666,1.0934146311237818,-75,-75,-74,-75,-75,-74,-75,-77,-74,-74,-74,-75,-73,-74,-74,-74,-75,-75,-77,-75,-77,-75,-77,-75,-75,-75,-75,-75,-75,-77,-77,-77
cansat,2_20m,-78.53333333333333,0.9910712498212337,-78,-78,-80,-80,-79,-78,-80,-80,-80,-79,-78,-79,-80,-78,-78,-78,-78,-77,-79,-80,-77,-79,-78,-78,-77,-78,-78,-77,-78,-78,-79,-79
lost,2_20m,-75.73333333333333,1.3148721948877347,-75,-77,-75,-77,-77,-77,-75,-80,-78,-74,-77,-75,-77,-75,-75,-75,-75,-75,-74,-77,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-77,-77
cansat,2_25m,-93.46666666666667,3.703451843288306,-98,-89,-89,-95,-90,-89,-88,-90,-94,-90,-88,-93,-90,-98,-98,-93,-95,-96,-97,-89,-101,-95,-95,-96,-94,-98,-96,-89,-97,-99,-93,-93
lost,2_25m,-91.86666666666666,3.7747700445045504,-88,-90,-89,-89,-89,-88,-88,-87,-90,-96,-89,-87,-90,-93,-95,-90,-89,-100,-93,-89,-97,-93,-89,-93,-99,-95,-93,-94,-90,-101,-91,-91
