cansat,2_30m,-92.66666666666667,3.228346670080867,0,-91,-91,-91,-95,-98,-95,-95,-99,-102,-90,-89,-90,-95,-96,-93,-90,-91,-90,-93,-90,-94,-93,-93,-93,-94,-91,-91,-88,-93,-89,-88,-88
lost,2_30m,-89.3,3.267516896156264,0,-90,-88,-91,-90,-90,-89,-91,-91,-99,-93,-87,-85,-89,-96,-88,-87,-86,-89,-87,-89,-87,-89,-97,-90,-88,-87,-88,-86,-85,-90,-87,-87
