cansat,10m,-77.9,0.7,0,-77,-78,-78,-77,-77,-77,-78,-79,-79,-78,-78,-79,-79,-77,-79,-78,-78,-78,-77,-78,-78,-78,-78,-77,-78,-78,-78,-77,-77,-79,-77,-77
lost,10m,-76.7,1.1298967504452193,0,-78,-75,-78,-77,-77,-77,-77,-77,-79,-77,-78,-77,-78,-77,-75,-75,-77,-77,-78,-77,-77,-77,-75,-74,-77,-75,-77,-77,-75,-77,-77,-77
