0,12.01932392398453,-9.348255894979838,20.807088816867335,3.249615361854384,3.63318042491699,-79.2,-79.0,20.61181096997367,21.002366663760995,13.44481264075409,14.165544173418397
-83.0,-83.0,-75.0,-78.0,-77.0
-79.0,-84.0,-82.0,-75.0,-75.0
1,9.033057969331798,-13.392416849609255,14.90439181019661,0.0,5.2687759489277965,-72.0,-76.8,12.00427937468124,17.804504245711982,9.380127487914667,12.606499941366238
-72.0,-72.0,-72.0
-74.0,-72.0,-72.0,-81.0,-85.0
2,4.4180677965487,-15.366256715189925,13.08168287807505,1.019803902718557,2.416609194718914,-72.4,-73.4,12.370277171793141,13.793088584356958,9.569618632792356,10.527728114989575
-74.0,-72.0,-73.0,-72.0,-71.0
-78.0,-72.0,-73.0,-71.0,-73.0
3,-0.43894071655254785,-16.936402546586418,35.46282974500172,2.9257477676655586,2.4819347291981715,-86.2,-86.2,34.8637853796291,36.06187411037434,19.079097315410547,20.747225964992015
-85.0,-85.0,-90.0,-89.0,-82.0
-84.0,-85.0,-86.0,-85.0,-91.0
4,-3.2127382962207944,-12.692627050927598,21.937652818027573,2.1540659228538015,2.9933259094191533,-80.4,-79.2,22.555172888211484,21.320132747843658,14.27619342340772,14.316497581293946
-82.0,-77.0,-79.0,-81.0,-83.0
-77.0,-75.0,-79.0,-82.0,-83.0
5,-2.841833919702931,-7.692598295409252,10.908557999531133,0.4,0.4,-70.8,-70.2,10.96998628775767,10.847129711304596,8.833871388616748,8.88542726947765
-70.0,-71.0,-71.0,-71.0,-71.0
-70.0,-70.0,-70.0,-71.0,-70.0
6,-2.6859034857129567,-2.6722877552233504,11.15690478112833,0.0,1.3564659966250536,-71.0,-70.6,11.135962324692407,11.177847237564254,8.922653272072399,9.075809246157151
-71.0,-71.0,-71.0,-71.0,-71.0
-70.0,-70.0,-73.0,-69.0,-71.0
