0,2.7118260544087356,-8.664024193401529,14.054799321325419,1.0,1.699673171197595,-73.0,-74.66666666666667,12.940302697133792,15.169295945517048,9.861056908366935,11.25875313582138
-74.0,-72.0
-73.0,-77.0,-74.0
1,-1.984907322874141,-10.726068597744773,25.231839117972864,3.681787005729087,0.4714045207910317,-81.66666666666667,-81.66666666666667,24.805618448040555,25.658059787905174,15.209598179162601,16.315994471871143
-77.0,-86.0,-82.0
-82.0,-82.0,-81.0
2,-5.592413513415353,-7.232166078874489,10.26973928590215,0.0,1.8856180831641267,-69.0,-70.33333333333333,9.583211444075125,10.956267127729173,8.073550548732095,8.948440004954527
-69.0,-69.0
-73.0,-69.0,-69.0
