0,-3.030606183775864,7.66260005475972,26.707447946534433,0.4,0.6324555320336759,-81.8,-83.0,25.05519793886305,28.359697954205817,15.31133424377241,17.510707470957268
-82.0,-81.0,-82.0,-82.0,-82.0
-84.0,-83.0,-82.0,-83.0,-83.0
1,-4.1865495882348585,12.57611097940256,27.742812260669456,0.4,1.4966629547095764,-82.2,-83.6,25.81910445633112,29.66652006500779,15.620643713094175,18.076496333219815
-82.0,-82.0,-82.0,-83.0,-82.0
-82.0,-84.0,-82.0,-84.0,-86.0
2,-4.640169487057012,17.587056731386955,53.34039739601957,1.8330302779823358,1.16619037896906,-89.8,-93.2,45.684046801151666,60.99674799088747,22.841826578700218,30.066528688194335
-90.0,-88.0,-90.0,-93.0,-88.0
-94.0,-94.0,-91.0,-93.0,-94.0
3,-0.13025478158172107,19.815263796810516,67.39414029895295,3.1874754901018454,3.0724582991474434,-92.8,-96.4,57.22549940250889,77.562781195397,26.53841628559492,35.62374996621318
-90.0,-98.0,-93.0,-94.0,-89.0
-102.0,-95.0,-95.0,-97.0,-93.0
4,4.5560558152804385,21.796388800803093,25.12991757394493,0.4,0.6324555320336759,-81.2,-82.0,23.951506417738305,26.30832873015156,14.858815929537272,16.606804969880326
-81.0,-81.0,-81.0,-81.0,-82.0
-82.0,-81.0,-82.0,-83.0,-82.0
5,9.60884615581254,22.01203912752407,21.817440039437177,0.6324555320336759,0.8,-79.0,-80.4,20.3046020733291,23.330278005545253,13.311034519767297,15.256605385459585
-79.0,-80.0,-79.0,-79.0,-78.0
-79.0,-81.0,-81.0,-81.0,-80.0
6,14.177421915442443,24.235668089215995,37.93724674274853,1.019803902718557,3.429285639896449,-87.4,-86.8,38.150879023709514,37.72361446178754,20.258882804598368,21.41759004898497
-89.0,-87.0,-86.0,-87.0,-88.0
-80.0,-89.0,-88.0,-89.0,-88.0
