cansat,12m,-87.96666666666667,2.7262102307456444,0,-82,-83,-85,-82,-88,-86,-89,-88,-94,-88,-88,-88,-88,-88,-88,-88,-90,-89,-90,-91,-90,-90,-89,-93,-91,-90,-86,-85,-85,-84,-85,-85
lost,12m,-95.86666666666666,5.57215298505783,0,-86,-87,-88,-88,-87,-90,-99,-94,-94,-101,-95,-95,-95,-97,-98,-98,-99,-100,-104,-105,-101,-102,-105,-95,-101,-102,-98,-91,-89,-88,-90,-90
