cansat,[F[2~m,0,-80,-84,-82,-81,-82,-84,-84,-85,-86,-87,-86,-86,-86,-87,-86,-87,-96,-89,-84,-85,-85,-82,-84,-86,-88,-88,-87,-82,-84,-84,-83,-83,ave,-85.33333333333333,2.8087165910587863
lora,[F[2~m,0,-84,-82,-85,-85,-85,-86,-86,-85,-87,-89,-90,-89,-93,-89,-89,-89,-89,-97,-90,-87,-87,-90,-87,-88,-94,-93,-98,-87,-86,-88,-87,-87,ave,-88.56666666666666,3.489826484066062
cansat,20m,-86,-82,-87,-84,-83,-82,-86,-84,-83,-79,-81,-82,-83,-83,-82,-81,-84,-83,-83,-83,-83,-83,-83,-84,-83,-83,-85,-83,-84,-86,-87,-87,ave,-83.3,1.676305461424021
lora,20m,-89,-91,-94,-89,-88,-87,-84,-89,-84,-84,-83,-85,-86,-85,-88,-86,-87,-88,-87,-87,-86,-86,-85,-87,-85,-84,-88,-86,-85,-90,-91,-91,ave,-86.83333333333333,2.436983563524565
cansat,30m,-82,-82,-84,-85,-81,-82,-84,-83,-82,-84,-83,-83,-83,-83,-84,-83,-84,-87,-86,-86,-87,-86,-86,-86,-86,-86,-86,-86,-85,-85,-84,-84,ave,-84.4,1.6248076809271925
lora,30m,-84,-85,-86,-88,-86,-85,-86,-87,-86,-90,-87,-87,-86,-86,-87,-87,-90,-87,-90,-90,-90,-91,-93,-91,-89,-90,-90,-91,-90,-90,-91,-91,ave,-88.4,2.169485346036397
