0,8.137130604534402,-3.9286195766766845,20.90404961363926,0.9096702699330126,0.7,-78.35,-79.9,19.337443637537316,22.470655589741206,12.88538024561422,14.857615310200499
-78.0,-78.0,-78.0,-79.0,-77.0,-80.0,-79.0,-79.0,-77.0,-80.0,-79.0,-79.0,-79.0,-78.0,-78.0,-78.0,-77.0,-78.0,-77.0,-79.0
-80.0,-80.0,-80.0,-80.0,-80.0,-81.0,-80.0,-79.0,-80.0,-80.0,-81.0,-80.0,-81.0,-81.0,-79.0,-79.0,-79.0,-79.0,-80.0,-79.0
1,9.658276692418065,0.9166072662689532,12.579565967874576,0.3570714214271425,0.5916079783099616,-71.15,-73.5,11.262090272189551,13.8970416635596,8.989824749788372,10.583673197509642
-71.0,-71.0,-71.0,-71.0,-71.0,-72.0,-71.0,-71.0,-71.0,-72.0,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,-72.0,-71.0
-74.0,-74.0,-73.0,-73.0,-74.0,-73.0,-74.0,-74.0,-74.0,-74.0,-73.0,-73.0,-74.0,-74.0,-74.0,-72.0,-73.0,-73.0,-73.0,-74.0
2,6.699584244166145,4.979053258485375,8.609169796228707,1.1135528725660042,1.2489995996796799,-66.4,-68.2,7.883687179504609,9.334652412952806,7.0893478481478445,7.9917722948541545
-71.0,-66.0,-66.0,-67.0,-66.0,-66.0,-67.0,-66.0,-67.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0
-73.0,-69.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-69.0,-68.0,-68.0,-68.0,-67.0,-67.0,-68.0,-67.0,-68.0,-67.0,-69.0,-68.0
3,4.538572955056691,9.511304995859165,11.313498015368562,0.39999999999999997,1.0535653752852738,-70.2,-71.7,10.486753990723086,12.140242040014039,8.572791033025082,9.620656920548711
-71.0,-70.0,-70.0,-71.0,-71.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-71.0
-68.0,-72.0,-72.0,-72.0,-73.0,-71.0,-73.0,-72.0,-72.0,-71.0,-71.0,-72.0,-72.0,-71.0,-72.0,-71.0,-73.0,-72.0,-72.0,-72.0
4,4.973647615126011,14.508157314885866,20.38034093443345,1.061838029079765,1.0535653752852738,-77.85,-79.7,18.624940339838787,22.13574152902811,12.567239073801622,14.700956347263283
-77.0,-78.0,-77.0,-77.0,-77.0,-78.0,-77.0,-78.0,-78.0,-77.0,-77.0,-78.0,-77.0,-77.0,-77.0,-78.0,-80.0,-80.0,-79.0,-80.0
-79.0,-78.0,-79.0,-79.0,-79.0,-79.0,-80.0,-81.0,-79.0,-80.0,-80.0,-79.0,-79.0,-81.0,-78.0,-80.0,-81.0,-82.0,-81.0,-80.0
5,6.193561435193906,19.37080283038429,25.14820758150538,1.2230473724865525,2.4310491562286436,-79.63157894736842,-83.3,21.290664898692356,29.0057502643184,13.738090478279888,17.791352938740875
-79.0,-79.0,-79.0,-78.0,-80.0,-79.0,-80.0,-79.0,-80.0,-78.0,-80.0,-82.0,-80.0,-82.0,-81.0,-78.0,-81.0,-80.0,-78.0
-86.0,-82.0,-81.0,-79.0,-81.0,-81.0,-81.0,-83.0,-82.0,-82.0,-83.0,-83.0,-85.0,-85.0,-85.0,-81.0,-84.0,-86.0,-88.0,-88.0
6,4.936766924027362,24.239577562844957,24.317849950878653,1.9059520091609046,2.8543825952384174,-79.71428571428571,-82.45,21.42328941934849,27.21241048240882,13.795019760426348,17.00763820467008
-77.0,-82.0,-79.0,-78.0,-77.0,-80.0,-83.0,-80.0,-79.0,-81.0,-78.0,-79.0,-83.0,-80.0
-84.0,-86.0,-81.0,-78.0,-81.0,-81.0,-84.0,-86.0,-84.0,-85.0,-82.0,-82.0,-79.0,-79.0,-80.0,-82.0,-90.0,-84.0,-81.0,-80.0
