0,0,0,14.357564787148657,1.5,3.5,-69.5,-77.5,9.949820390566115,18.7653091837312,8.277933453933317,13.082985239463587
-68.0,-71.0
-74.0,-81.0
1,-11.858580390684988,-1.2968405397577498,17.983657718254797,0.5,2.0,-71.5,-81.0,11.56197227342863,24.405343163080964,9.148531315052601,15.749561904626194
-71.0,-72.0
-79.0,-83.0
2,-59.828022622521615,-8.626915070890528,12.175988521239606,1.0,2.0,-55.0,-79.0,3.3496103787182165,21.002366663760995,4.009206551917428,14.165544173418397
-56.0,-54.0
-81.0,-77.0
3,-71.39660502595127,9.75221755787143,6.004063098962755,0.5,10.0,-55.5,-67.0,3.477750839696607,8.530375358228904,4.110700098986549,7.499321496417197
-55.0,-56.0
-77.0,-57.0
4,-80.85932957720914,22.51145732126571,nan,nan,0.5,nan,-81.5,nan,25.33897769655459,nan,16.17250453427619

-82.0,-81.0
5,-94.84316123132749,31.921670493435915,15.987008541628967,4.0,0.0,-62.0,-82.0,5.6656883531063755,26.30832873015156,5.68933491343349,16.606804969880326
-58.0,-66.0
-82.0,-82.0
6,-94.40185669623676,44.17868804407481,nan,nan,0.0,nan,-82.0,nan,26.30832873015156,nan,16.606804969880326

-82.0,-82.0
