0,0,0,12.950660519120419,0.0,0.5,-72.0,-73.5,12.00427937468124,13.8970416635596,9.380127487914667,10.583673197509642
-72.0,-72.0
-73.0,-74.0
1,-19.76447335901208,2.1429206876929343,13.722079286576236,0.5,0.5,-72.5,-74.5,12.463507081449237,14.980651491703235,9.617586545805736,11.159738773709329
-72.0,-73.0
-74.0,-75.0
2,-46.353514809641624,4.674118320819737,20.68114113051437,0.5,1.5,-78.5,-79.5,19.556463063495336,21.8058191975334,12.982383906480344,14.545949199247648
-78.0,-79.0
-78.0,-81.0
3,-47.21613175371863,-6.440218552197967,21.53128609536432,0.5,0.5,-78.5,-80.5,19.556463063495336,23.5061091272333,12.982383906480344,15.337680052086878
-78.0,-79.0
-80.0,-81.0
4,-50.094276214002136,-15.709358512846498,24.098082311866563,0.0,1.0,-80.0,-82.0,21.887835893581567,26.30832873015156,13.993505853494867,16.606804969880326
-80.0,-80.0
-81.0,-83.0
5,-54.86284086591816,-28.900353446108298,nan,nan,0.5,nan,-86.5,nan,36.88338698803677,nan,21.07974336589172

-86.0,-87.0
6,-60.62000617695622,-31.493767317099014,31.158835200761658,0.0,2.5,-82.0,-86.5,25.43428341348655,36.88338698803677,15.465215711203879,21.07974336589172
-82.0,-82.0
-89.0,-84.0
