0,-5.435812177468312,8.363847821943088,46.03659447281396,2.8400907912387834,5.372150407425317,-89.54545454545455,-89.8,44.81921676054824,47.253972185079675,22.55295459784913,25.108653540876404
-87.0,-89.0,-93.0,-88.0,-94.0,-91.0,-93.0,-90.0,-89.0,-86.0,-85.0
-91.0,-87.0,-89.0,-83.0,-91.0,-96.0,-93.0,-97.0,-97.0,-102.0,-93.0,-91.0,-88.0,-84.0,-89.0,-85.0,-81.0,-84.0,-84.0,-91.0
1,-6.314194326890185,13.326549338170276,34.65824468234146,2.0512465616661992,4.165033013074446,-85.29411764705883,-86.45,32.571309440813316,36.745179923869614,18.23420519889802,21.02395599688327
-85.0,-83.0,-83.0,-87.0,-88.0,-84.0,-84.0,-87.0,-89.0,-84.0,-88.0,-87.0,-86.0,-86.0,-84.0,-83.0,-82.0
-81.0,-83.0,-85.0,-82.0,-89.0,-85.0,-82.0,-87.0,-85.0,-93.0,-90.0,-88.0,-88.0,-95.0,-89.0,-93.0,-88.0,-80.0,-84.0,-82.0
2,-6.02614865006141,18.33748752392747,23.332908557366608,1.116915395184434,1.1224972160321824,-81.05,-80.2,23.683265418872043,22.982551695861176,14.747791671459254,15.095739463995892
-80.0,-83.0,-82.0,-79.0,-82.0,-79.0,-81.0,-82.0,-80.0,-81.0,-81.0,-82.0,-80.0,-82.0,-82.0,-80.0,-82.0,-82.0,-80.0,-81.0
-78.0,-80.0,-81.0,-79.0,-82.0,-79.0,-81.0,-81.0,-79.0,-78.0,-79.0,-81.0,-81.0,-81.0,-81.0,-81.0,-81.0,-81.0,-80.0,-80.0
3,-1.2199283332662387,19.92475056978196,19.521473375737987,1.846618531261939,2.694438717061496,-78.3,-78.2,19.26498360791724,19.777963143558733,12.853207028278737,13.577480154850335
-80.0,-79.0,-81.0,-80.0,-78.0,-80.0,-75.0,-77.0,-80.0,-78.0,-75.0,-80.0,-79.0,-81.0,-77.0,-77.0,-75.0,-78.0,-78.0,-78.0
-79.0,-80.0,-80.0,-82.0,-79.0,-75.0,-74.0,-74.0,-78.0,-80.0,-80.0,-79.0,-82.0,-79.0,-75.0,-83.0,-77.0,-75.0,-75.0,-78.0
4,3.7478758291932195,21.026005286989687,7.410276068043083,0.5722761571129799,0.5894913061275798,-65.65,-65.05,7.452004825791407,7.368547310294758,6.828420272617127,6.762972749984817
-65.0,-65.0,-65.0,-66.0,-67.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-65.0,-66.0,-65.0,-65.0,-65.0,-66.0,-65.0,-66.0
-65.0,-65.0,-64.0,-64.0,-65.0,-65.0,-65.0,-66.0,-65.0,-66.0,-64.0,-65.0,-65.0,-65.0,-65.0,-66.0,-65.0,-65.0,-66.0,-65.0
5,8.77699125229363,21.83982284405452,5.617123402156766,0.4898979485566357,0.8888194417315588,-62.4,-60.9,5.838429205900341,5.395817598413192,5.804267102545854,5.427684139393291
-63.0,-62.0,-63.0,-63.0,-63.0,-63.0,-62.0,-62.0,-63.0,-62.0,-62.0,-62.0,-62.0,-62.0,-63.0,-62.0,-62.0,-62.0,-63.0,-62.0
-61.0,-61.0,-61.0,-61.0,-62.0,-59.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-62.0,-62.0,-59.0,-59.0,-61.0,-61.0,-62.0
6,13.726704166142898,22.639211860189693,7.7226966417706,0.39999999999999997,0.6633249580710799,-66.2,-65.6,7.7661847027239554,7.679208580817244,7.018807658448797,6.963014854497652
-66.0,-67.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-67.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-67.0,-66.0,-66.0,-67.0,-66.0
-66.0,-65.0,-66.0,-66.0,-66.0,-65.0,-66.0,-65.0,-65.0,-65.0,-67.0,-66.0,-65.0,-65.0,-66.0,-67.0,-66.0,-65.0,-65.0,-65.0
